사고년도,사망자수,부상자수,중상자수,경상자수,부상신고자수,시도,시군구,사고유형 대분류,사고유형 중분류,사고유형,가해자법규위반,도로형태 대분류,도로형태,가해당사자 종별,피해당사자 종별,주야구분,발생일,발생시간,발생요일,발생위치X좌표 (EPSG 5179),발생위치Y좌표 (EPSG 5179),경도좌표,위도좌표
2012,1,1,,,,서울특별시,강동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,횡단보도부근,승용차,보행자,주간,1/30/2012,6,월요일,971215,1949802,127.1741369,37.54710338
2012,1,1,,,,서울특별시,강동구,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,특수차,원동기장치자전거,주간,2/26/2012,11,수요일,967062,1949901,127.1271189,37.5478566
2012,1,2,,1,,서울특별시,강동구,차대차,기타,기타,신호위반,교차로,교차로내,원동기장치자전거,승용차,야간,2/28/2012,1,금요일,967684,1948508,127.1342216,37.53532294
2012,1,3,,2,,서울특별시,강동구,차대차,추돌,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,주간,5/15/2012,8,화요일,968541,1950207,127.1438499,37.5506655
2012,1,1,,,,서울특별시,강동구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,야간,10/14/2012,4,토요일,970795,1949587,127.1693909,37.54515227
2012,1,1,,,,서울특별시,강동구,차량단독,기타,기타,안전운전 의무 불이행,기타/불명,기타/불명,화물차,없음,야간,11/11/2012,21,월요일,971252,1950934,127.1745137,37.55731136
2012,1,1,,,,서울특별시,강동구,차대사람,횡단중,횡단중,안전운전 의무 불이행,기타/불명,기타/불명,화물차,보행자,야간,12/6/2012,5,월요일,967915,1947855,127.1368647,37.52944523
2012,1,3,2,,,서울특별시,강동구,차대차,측면충돌,측면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,야간,1/11/2013,23,목요일,970993,1950774,127.1715853,37.55585748
2012,1,1,,,,서울특별시,강서구,차량단독,기타,기타,안전운전 의무 불이행,단일로,기타단일로,이륜차,없음,주간,1/28/2012,16,수요일,940106,1949641,126.8219947,37.54415531
2012,1,1,,,,서울특별시,강서구,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,원동기장치자전거,야간,2/4/2012,0,토요일,941556,1949303,126.8384347,37.54120202
2012,1,1,,,,서울특별시,강서구,차대사람,기타,기타,보행자 보호의무 위반,교차로,교차로부근,건설기계,보행자,주간,2/10/2012,10,금요일,940538,1951357,126.8267444,37.55964863
